docid	post_count	word_count	ere_status
09d6e201bb4af00038c2011c255f9c9e	2	575	rejected
0a0cf2dcf2f7146379f01e08501c5cd6	5	913	in-queue
0a421343005f3241376fa01e1cb3c6fb	2	955	2p-done
0a6769f22793ab098edd4b3c89ef964e	3	575	rejected
0ada48318c1c31183095aa246e1446bd	3	846	rejected
0af29943ff5f39b04a02e7ececa2f7d3	4	956	in-queue
0afc42ea804b460974006e8aceec88f8	5	941	rejected
0b91a5ac375fd7c13e8f612cff9f2eaf	4	869	rejected
0ba982819aaf9f5b94a7cebd48ac6018	9	518	in-queue
0bb3880a5743f494f6137f7bbf1fb308	4	510	rejected
0c4ea9f64bf54ddf8a959f47fe5bac45	4	941	in-queue
0cc03c0c1364917ec7ea336506a0364b	6	947	rejected
0cd154006e777baef4f7c3b0fd0495c3	5	655	rejected
0cd5a58b344ced2ca83a0542df42c6d9	7	957	rejected
0cdc8ad86e3e945a55e3228d7f0f9380	3	634	in-queue
0cfdfe102b7a4cb34e1a181c1d36d23d	6	798	in-queue
0d14ed5123e8ae6f0f79e8f5ecebb014	5	906	1p-in-progress
0d5a7256cdfa7d3bb2a2fb48d53595f0	4	914	rejected
0d714cf7b2fa2c9e1e312839b2d4b20a	8	534	rejected
0da2ebc0e7a31b40a3994c9a6d976c27	5	892	in-queue
0ded587679210f15f7ff1546c71d6491	3	523	in-queue
0e1c5efd9cc0da984d9bf28e11538c36	4	976	rejected
0e282ec5ea84cb54329d91910c8de755	5	949	rejected
0e62e5848f2104ab77ee6cadc2f4b697	3	505	rejected
0e7fd34e86453f9cc70487e003d32dc0	4	805	rejected
0e869cc15924623b2d9099d32e66919f	3	852	rejected
0e8b7f638b8d23cd38a38cf8f9f49b2d	3	697	rejected
0eb03fc279066b84ed49d44b2405469a	3	332	2p-done
0eb75eb2b1d0e8467becbae2dc9194c9	3	953	in-queue
0ee58209c912661378f9fa641ed77191	4	920	rejected
0f03cc5a508d630c6c8c8c61396e31a9	3	499	2p-done
0f565d3822dca80336582ffac4adaf78	3	819	2p-done
0f5b7fb28ba67df8147e7a1fc455dd7d	3	831	rejected
0fa9dc1b34a42ebfd2e79f26a4c73bd0	4	848	rejected
0fbcb8f76124b9654076889ce04a045b	8	999	2p-done
0fe5904ced20c20537fe29c1db11cd28	3	268	2p-done
1013f50469811412862f87d6918247e9	2	980	rejected
101d0fc4a78dc1b84953ebd399b2fad5	6	902	in-queue
1040a94da55b97b8c0984fca0e6a214d	4	662	in-queue
104ac2ba4e343f6592651aee88018cf9	3	944	rejected
108c4a75e812b037d0bbceb01a66caa9	5	908	in-queue
10d57df56c058916a3c0c71d223e2c10	5	828	rejected
10de81c6ec47ab2f35f4fb0618d04198	2	427	rejected
112e194914724b5faa471e71ac8de0f1	7	920	rejected
11329f1cdb44019afc8f48b6fdc5376d	5	788	2p-done
115045baac258ff2fa11e7662953943c	7	990	rejected
116532f9f19d64e5aa9f169fa77eb051	10	963	rejected
11e7e947b08509ea65ca84e85ad89775	5	574	rejected
120be1c7eefedcf9baa6fd830cca1afd	2	852	in-queue
120fe19a9bc68fd85fc4963c166e9345	2	971	in-queue
12385112834b8265f0c41f22da35a066	3	941	in-queue
1355c74db7a32b7997dbff75d706707d	11	981	rejected
13b8c793bfcf89521e17a1c0c68c317e	6	936	rejected
13c3c6482d4fc42c0eef82fac0c5b9e3	2	461	in-queue
13f1e09b4ee27ff46683e2d76efdae38	3	911	rejected
14294db341956a71811c9dd015b04ed7	8	747	2p-done
143efba3bd223616be18bc01b5e88103	5	630	rejected
1446f93db68e71a58787ef7c20c36f57	9	869	in-queue
1473ea2ded50c05b29b4f55f1b83ada3	3	951	2p-done
14acbfea12e674d61e693f0f5c05f407	5	675	in-queue
14e118da68a743cec153c453a08c4ef9	2	481	rejected
153903e60986db6a64e6ccad006675f3	5	815	in-queue
1557734399e8da2b84a2dd9ddb4eba49	6	528	2p-done
15a3c67b29e73b98c29b1677deb49007	2	893	rejected
160b3920865898359af27cd57cf6f213	3	582	rejected
1656bbad43fee4569b5c5f14110c1342	3	486	2p-done
169e523993c682cbd3b871e9f03d5943	3	922	rejected
16a4a0773f9c3dd72338c5be40fdca91	7	874	rejected
170ce0dbce4d6e465b7eef78fa6f7fbe	7	993	rejected
172ff81554715035b11c0c6492c675f7	4	949	rejected
173ea66672139ef6eafb423a6ba12285	2	376	in-queue
178e7de35eccad0df800f0c7539cf614	7	523	2p-done
17dda57957f532006001fe0d35bc373e	2	770	in-queue
17f22c2b1e5642b41a9aeedb03261d1a	3	611	2p-done
17f98f0c6cda0227e732e6761f396d1f	4	192	2p-done
17fb63620c713bd5a7983ee2dcdb082c	3	674	in-queue
186ef6837e001cd9b97a132c86705545	5	609	2p-done
189fc222a9718b195c9582d09e46135e	8	949	in-queue
18a89cdd00dadc593a88c924111575f1	3	484	2p-done
18e8a277f2659f79291efa0e12e80cb3	3	497	2p-done
194f8b584e24cb6d88e76e4e430f5578	3	963	rejected
19569b08f07d751d6ac4a07633653c50	5	733	2p-done
19c0f0e95efe6f1254064aff8438726b	2	948	rejected
1a03c4dbeac0cd242cd089f1cda1bc50	3	706	in-queue
1a2aaa028efd9759b456e600b91c960c	3	870	rejected
1a9399186188314e8246b1903e35d41d	2	597	rejected
1ad392b031ad973c83375187c0c7944e	2	842	rejected
1adef229206d4bdcb23b0dcff208e9f5	3	427	rejected
1ae45904ad12b1540dc390e162b61235	7	612	2p-done
1afa1fd911b5622402e2406357fb3d74	8	964	rejected
1b0cf845c140645d407c5ac50382d9e1	7	705	rejected
1b0f90c029f75d326ea39c0371901ef4	6	768	2p-done
1b2352a29e7881ef21a2c706c7b4a5ed	3	589	rejected
1b268b27094ba9c5feb11192dad940ab	5	966	2p-done
1b34d0a615f6359fd3b0b5acf9b23120	16	687	rejected
1b40036634b9bf3dae9f2619ce5eaf27	6	946	in-queue
1bb1633cf33f9b080d361b12b71ed5ca	6	969	in-queue
1bfbc3aa99a70550592c2940b42a8b2f	2	995	rejected
1c0d62c346e98e0157ccb63b4007bd60	4	807	rejected
1c5fc7ad9a830356e40f2eb31b16c834	8	956	rejected
1c62de3348f99b6ceb03901245f9bec8	4	773	in-queue
1cab4a989e787a3dc1eb9d96044b3691	6	939	in-queue
1d0f2de3434a86c749d45435db775a7f	3	926	in-queue
1d1369135d3d516e2e84a04ce325a728	3	668	rejected
1d16a571f14fb1032bc19e9314a46deb	9	936	1p-in-progress
1d8543a5c85cb22087fcab853849e1f6	4	127	rejected
1d9ee0a6f983a3c50c7a869dee5b70d5	2	665	rejected
1da9910187f78da83039ac1753dec19a	7	785	rejected
1e200a317bc075de2ec4ccfb36f760c5	4	913	rejected
1e7bdcb7ecc0b0e4d20b702b52ed3e5d	3	358	rejected
1e9dfabe5e068a4142e768c0c5c37b6b	6	536	2p-done
1f1b83c7bfcc5ec6121d4052e92b5a8f	3	792	rejected
1f5ceb24cd2274077f32ccd9dba5eab5	5	996	rejected
1fb7237f491c5bc82b43ce670e99ffd0	2	811	in-queue
1fca97336935090b6e1760b354e58cc5	5	799	rejected
1fdd083db4d06ff51e0e110b18ffcd60	5	858	rejected
208f398e5bca1d0ddf3c21a066bb1e27	7	977	in-queue
20aa16a6d6ae15c758eaad239817685a	4	992	rejected
20ba8466cbf912d2381c2ad69bc47a06	7	220	rejected
20cfa09e5450036861098d34f3d6e799	5	971	rejected
21315d803e92d2cc51b3763322006942	4	979	rejected
2147af760a7810788aa11379d3ed95fc	2	296	rejected
21dbe23f56aaef87fd0980234895b321	4	986	2p-done
220cc560231cb2ceaf660076e56d3d0b	3	512	rejected
22742a559060baa3aee4b7a6baa61fa8	2	983	rejected
227576394ee2fa39d653b8a04b3e8b88	3	885	in-queue
2297244987ed62a94b9a4423279ab840	4	969	in-queue
22ca1a5aa492b429d274169c54554a7c	3	269	2p-done
23cc8dd8a9fdda9aeb1e2c60321aa1ff	10	899	rejected
23f96ffa9a301e6625a109a73a40e720	3	399	rejected
240d42c9cbaa2237a1a8b50fe5da0525	5	984	rejected
24323093b7ca24c6b1375f36ae13a4f8	9	928	rejected
244a09b6f72422b33753b5ce457058d3	3	1000	rejected
246a79b1a5b7c65c553a6eee8320acaa	3	683	rejected
24cbdc3f65a2fa6108801c2dc7f40d27	2	163	in-queue
24d93564f48ae17904aa82f937db8c21	7	908	2p-done
253fac3c48c7a3a0ed565ada7b31e591	2	672	in-queue
254b7cebedc430f91c98e30acbbeac76	3	900	rejected
255bae1c133d1d77ef727c063e435a78	9	951	2p-done
256b54f2ec01872707e5089dc53bb2a5	13	952	in-queue
25bb59d207a467cfbde72cfbd131110a	9	893	in-queue
2606584dd000394d2d090e533eed7b2f	8	960	rejected
260b99cc249651c691e10d1df283629a	2	496	in-queue
260da604be7bd04fb4a9d7d55890e57d	4	889	in-queue
26eaf2efbd89aa3ecc5d9d2429c2e1ae	3	373	in-queue
270786d09a9c5e7b1738fb34b8756a23	5	871	rejected
27745efced93360b2433529035235e07	4	789	rejected
2797d3195d12e30dc351f2b24dee1bc5	10	980	1p-done
285069262e3ee82da1486f9543058de2	7	919	rejected
2854a030acf7a775e500a4ac72b2eaf7	4	803	in-queue
2854bfc2c91c9a3c9d5c1e0ffd10127e	4	919	rejected
28cc689f434b6862f0e61150b5540191	16	909	rejected
293fe5ee6ba0cb0244bc1f3548e40c56	7	597	rejected
29f64df7feb04dfb16f4667ce199c9f0	8	589	2p-done
2a1c77b9f3441d85bc6ce5688f963758	4	881	rejected
2a29e7202bcc2171b90c985e99ea6e15	6	937	rejected
2a54459212636289034af844f8634e37	5	335	2p-done
2a61a857de07f652a74dab9f42989ba8	7	970	rejected
2a89c1744ffba3427f0142097ddc791c	2	838	rejected
2aa5f3ff0e9c261b7a6907d977b15ee8	3	966	rejected
2ac3b55a10d5395ded9e8e54c345553b	5	421	2p-done
2b7462f58da95cb7633fb58fc5389809	3	724	rejected
2ba8bbf004fe30c0a01f6fcd25f01dcc	4	752	1p-done
2bc38486f166b9856b7fad2e53036535	16	640	rejected
2bc49ddd41b93e29640b9db3f9651b45	3	993	rejected
2bcd67c96a8e50d13d2a9af022da6c29	4	981	rejected
2bdb9d86091c6f412ffa767bdc749be9	6	800	2p-done
2bebb50073ceefd0c9ccfdf3e07b3258	3	328	2p-done
2c2265591745018bdcc228ad26a34497	4	925	rejected
2c2e8b3286bd34e30a4cb57cb7e26ce5	2	399	2p-done
2c683c620fbb55caceb0ef0147eec957	5	922	rejected
2ca55f0cab40b7fc725b63eb24f6d276	4	637	rejected
2d24ff58d09794b9b382401109417df3	4	707	rejected
2d299578e6a1ac37a60eef5a47000ae4	7	960	1p-done
2d5e53d968f8ceb89df99cc0a20d2ca1	2	633	rejected
2d7d6761aad911a63a235a571fa7862f	2	177	2p-done
2d8d3572658fdb8754fdc84d2b15f302	2	645	2p-done
2db17cabf5a548ab1d84c28966817084	2	687	rejected
2dbd45a75f2ee80ddfd0a0a9265e81e0	5	958	in-queue
2e12e161c8aa6e3e637444856535015e	2	106	rejected
2e1cd6aac3aa111bffa6f4552e5b8948	2	768	rejected
2e27f4d2b691c143b825a8bea67f5b9c	4	776	rejected
2e7150864544037c9356f1389bc6de9d	2	275	rejected
2ecdb2809b142d8c051bc6db88e8a054	5	713	in-queue
2ee2377e5d4ae6f5922ea2af11f9d4e1	2	464	2p-done
2f5243038635442c1fedea96f6269fbd	3	427	rejected
2f5c5059a9d836b94831c3092c0fec31	4	987	rejected
2f89770e93303b3c2ae6c3cafe36ce4a	4	887	in-queue
2f9d84e36bf0dc6cbfd87ae2eebdb36c	13	901	rejected
2fbecb3f50143950b181df8efb63d5e3	3	576	rejected
302e4528c975a2e3fe0f0bc103d75eb1	4	946	rejected
3059538a2542c71687871b3444f8d921	3	578	1p-done
307a2e502e93b3151f45c18c43d077f3	2	398	in-queue
30b3b3680d30cb520d89307f692c90b2	3	679	rejected
30eadb19db9f0db62cba7be66862920d	2	640	2p-done
31006e462348873c3e83d5b0987a3306	6	779	rejected
3104be9c305b8b1852a6484e0035567b	5	579	rejected
3139cbec601d69001b501248e353d06c	2	737	rejected
319f1c982ba2da910025ca88f84cf498	3	762	rejected
324274e50f2d07757e2d88ff58a0c33b	2	452	2p-done
32739c4e9e5d4235fc97ceae63242e7e	3	726	rejected
3307b14833f56b34ac2b717ee562bc8f	7	992	rejected
33139ba01a04b79ee3f6db49bde235c6	4	937	rejected
3316f4506343acdca88e7cbf7a0d7914	2	504	rejected
331b0fe552bc0d99819a125bccdbfc48	4	804	in-queue
3322caacf140c92366a639ee004560ce	9	285	2p-done
332cb9a713d73720d9ea6926abf51a95	3	667	rejected
336ec781ffcddd2e6bea720fb3fc16be	2	640	2p-done
3370ec5b7192ff766f69c67a1a520983	4	851	rejected
3392bcd5c9b672055591871338371711	4	833	rejected
3399559516cf4aad68cb2e2ae1a0979b	2	778	rejected
3445935ef881b537ee6a083112ecc42c	5	922	rejected
3470a961d41cb8d968f30195cdd2d94b	3	725	rejected
34c9061cd69588a2beddbcb8507e90cd	2	454	rejected
34d45cab4c25c8a605d3d5d4ec936edd	5	744	in-queue
34d49f3357eaf14c849e9cdfeb893273	8	908	2p-done
35621bc5e29e511198d6eabe34676975	4	897	1p-done
366ee5be764750e88a7c7bc1d058ba0e	7	877	rejected
367dd81d03ce45cb52e2ef4ee075ed75	2	953	rejected
368df106b2eaa0b4091e099f360a07d6	2	825	2p-done
36b12cef6f7a805e3e74a4f430129028	2	287	2p-done
36c9bc235fda83bd7ca2208900372fad	9	912	in-queue
36cdd3cb0ee688ab63100b5b48550e47	2	793	rejected
36d45aff571e3fbe036f309c18d31668	3	609	2p-done
376c304800b734b2a5a2c87b19eddc2a	13	665	1p-done
37d781089c669131c5118415cf470422	3	902	1p-done
37e068e678a6e568e3d08186ed5efece	4	879	in-queue
37fad66616065303366214d5ae915568	2	987	rejected
3807d257050f4241cd6b8242e897e5c3	3	883	rejected
38275988b9227cafab968ee99728fdc7	7	983	in-queue
38d435e84f56e73f803c440f478e58b5	6	999	rejected
38eac7821c02ba23d03509c4c38836b6	3	659	in-queue
39262666b3fe1ad0dc7ac2fb0d3aa44d	6	998	in-queue
39280a4d31d81837e17469e18a854116	4	511	2p-done
396d449074b6ccb0781f9f442bc69eb5	7	843	rejected
39914545590f1bce1e347d4667172df9	4	648	rejected
39bfc968c35aaf5992629fb7c6b6002e	8	901	2p-done
39d8570ea19740e4c73c36c6133ebe00	2	572	in-queue
3a1660d5a7611faa9617ee4df77a1e8b	8	982	rejected
3a2f3e9dc97da017929b7693728214b2	7	931	rejected
3ad2fa28d38b2e1f945855c2a57057bf	2	867	rejected
3ae5f153dd41c0b15566cad4911ebe48	2	193	rejected
3b34a76a3589417f5db02883b47280a6	2	515	2p-done
3b6a0346c78b403614ddd74fd5a41b6f	3	803	rejected
3b91abf4ade7812058b1ea110a5bc717	13	612	rejected
3b9b81a3a446c24009c7642da54dbd28	2	601	2p-done
3c1e85137bf5f2a19d333ba80cbbd11b	2	779	rejected
3c23c557adfc3042d5e359e56da7a3bf	4	774	1p-in-progress
3c81b3d679e4cb626e17cc39a03a460d	3	907	rejected
3c9fb643a48360935c1044efca570514	2	388	in-queue
3d1b1d013b755fc54f9780af10c38e5e	8	984	in-queue
3d74ce1a0c6a4b5d11dfde095fb7f96c	3	817	rejected
3ddbad6f438c88eec387131477ffe1b9	3	932	2p-done
3e645495aaa3e6cd2c18a0e6191a3efb	2	644	rejected
3e8673518bd4cdc7a45f07afc2953c1b	5	722	rejected
3ed5dadf9fb795105a5511f5974883c5	10	982	rejected
3f049fa8e60e9cbd87bdc3e5cd0a8fd5	6	874	rejected
3f0e2f2fb9b773bc178522a6535a9651	4	1000	2p-done
3f115570c2fcc85263ba97e0134fb039	3	268	2p-done
400a26200e39b7e60a98615385c857ed	7	447	in-queue
4042cd8643253f65df3a4e8de320a1c9	4	344	2p-done
40685a033c108fcb816149df27773eb7	5	756	in-queue
40e23df0cea8ee53076dfa33f42bb6b7	4	918	in-queue
41404718f9c1e94cf58aad1fc90c70a7	3	906	1p-in-progress
416cfc6a5717682cd35d381c5be07734	6	866	2p-done
4175e3da216dcc8710a26359e4ecaaad	5	921	in-queue
4196dd1353288c7053e8bd0ab81963be	4	928	rejected
41ad0ba456ded1e73947b67f952abc97	2	830	rejected
41b281299929fed8a8089708c6475b4e	8	831	rejected
41b38dab33f7c6179154a00587c8c5c9	8	836	in-queue
41c1b89bc8231652c0d18e886980faf3	4	111	rejected
41c7f3a37a1e6ec20b471d555e37320e	5	725	in-queue
428e1e095b4e6e830b47e72f133faf87	2	865	1p-done
430e0983ffb7ff3c64de4b5076187e06	3	855	rejected
43326b9fa7deac9d3f8f9e2a0aa0e5cf	5	959	in-queue
4337a916714ff8a3aa2001cd07bdb3bd	3	910	in-queue
433daefeb988d8aff8319b4af2d42b88	12	961	in-queue
43a8a42e3702bd6d2bd54fa5e0e3e94b	4	796	rejected
43c1e22a68367b11756f5f03278cc32f	5	931	in-queue
44023d9701cc87627ad9bbc94e8daa94	3	920	rejected
44087d95184e9d94f3948f47e9b602af	4	656	1p-done
44169f6a3f5b04e8dbab2a26e572a136	5	891	2p-done
44545145dd926c6c5b2e094b1a77b00a	6	992	rejected
44616d8d4a93a266db511b6fb8bf6d19	3	336	rejected
44620dd1ffd613a88d637cab0c677f1a	7	851	in-queue
447b2947a0192b1ecfe760adc8103c76	3	357	rejected
4494e31795b8c225c3dd746af7b1aec2	5	989	rejected
449ab3080d70aa14fe4f8c9bade2e6c1	3	525	rejected
44a65adb7f74e6c99d05eb2721fd0baf	3	887	in-queue
44b011cd504c9ed71beb851324db886a	7	924	2p-done
44b2d8b5613afc34de55287996b43e3d	6	973	rejected
44b8490299e34014d22990513e4f86c4	3	846	rejected
44fd27d40ae65547c3b584c2ff360cd7	3	732	2p-done
450deba0ad7860fb15602707ef412104	7	840	rejected
4512342c3cc7ea78fec3c6adcd2b3ae6	5	926	in-queue
45b9b8f7d17ce5f352c16a339e96705f	5	863	2p-done
45fa922dae580a4d8cdd8537a36ffffb	2	872	rejected
4622b60202cf3944119daf2be53aa74f	4	711	2p-done
467e3250d77bead53329c97a1410c7ea	9	956	in-queue
46dccac26f470fce2ca323de06c88421	4	923	1p-in-progress
4764f1400fa336d1fb972719b10b939a	4	833	1p-done
47836e21cb62dd517f4e7c5096a22adf	2	706	rejected
47c26ba3563092e41c5a42252931baf1	4	550	2p-done
4850e4d56c9e4096355917c98a8877df	2	956	rejected
48c498c9762046efbece8d183ed996ca	5	558	2p-done
48dafc1e3678fa7b13cb467ab3eed071	3	899	in-queue
49711a41b91e1e1407097cbf280234d4	9	900	rejected
499492f14eb5faff0f7f064f835da613	7	799	rejected
49ce196c10efe521b09b7f55d1198a29	10	875	in-queue
4a45a6dc26d8e17079b1916168722dc7	5	509	rejected
4a8b82d504632146678d3bdd36bdb808	2	948	rejected
4abe0d0b638c052afa98b032fcb50a9c	8	948	in-queue
4ac4f4bf5b93efb69349ec97ba73133a	6	974	1p-in-progress
4ac5cd0683bee83adbe7c8e0b78d9fc2	7	635	rejected
4b5c0b5d773a2fb58ea387e26b61120e	2	640	in-queue
4be7335c7ed9d0d86e9be53dff126daf	15	911	rejected
4c31e4134ce6d02ba5ace980655267f5	2	695	rejected
4d479594bb27d0550b7e13f2a9d2ceab	6	854	rejected
4d4d4d1c39d801f2542ba55a2d4045e9	7	946	in-queue
4d7e1af80bc46167ef3d81cf642bf94b	4	983	1p-in-progress
4d8b8d536262ffee74ea1851d20beca8	3	891	in-queue
4da64ed045c7636c090526ddfb0d90ae	17	595	rejected
4deb48e2b0ab194ce37c1bd31c73586a	2	771	2p-done
4df3dfff1ee1683ac6e1c2ea24ce2589	2	962	1p-done
4e320f02b35edc0da3193b37d0c2c77e	6	969	in-queue
4ed4907b01d6b1af2d0ac8361ef612bc	9	953	in-queue
4ed62ee5ed234527f104e716aa410a07	10	747	rejected
4edc6fe1729613c3a6b408914fcbf3b9	4	750	rejected
4f317eca00b33e82ca757892fb9c217a	4	949	1p-done
4f71544b9f8631111e8b04cd866e6f92	7	926	rejected
4f7eedf44076ea050d7db3715f9333fa	3	325	2p-done
4fbb1eec7dfd5c2fefb94a2d873ddfa5	2	762	in-queue
4fca88a5c29716cbb7c0f9aa9b84007a	5	985	2p-done
4fe14aa7c782b76f2a4dd0811cee8d78	4	838	rejected
502c46cc149d30f9ad0c25194636dcb6	4	797	2p-done
50371aa73a82bde8eedf37202b411996	5	997	rejected
505531f9ec4e08b0f7119d674414fe70	7	658	in-queue
508be59f66e498cc48d8052de4a00398	7	883	rejected
50c6276d96f95748d01f93d1bd5aded2	3	856	rejected
50e0c0ba91b475141ae4274af377980f	5	832	in-queue
52691bfa420aa902e81aab7948efa4a6	2	634	rejected
526fa1c7385e628adc216933f956565a	2	639	rejected
53101774a2103a8cce8e95af13ea5896	7	973	in-queue
5352b699b814d7fe4fc11931cded99fb	5	945	rejected
536d456bee602876d1e3a4416e72c5d5	3	738	in-queue
53902cffa79845b06a11c2de5742593f	8	953	rejected
5391c11a8ad963a5fea039766c185a6a	3	833	in-queue
539d428c723e914e6d00ce58b29f8282	5	846	rejected
5433059fa9f4af3f7255da01eecfaf36	3	984	rejected
548d9386150d2dcb3577b8832cdcf65a	5	823	rejected
54d13bbe37566a941ec20053b44e8c36	6	916	in-queue
54fded54efff4a26466465710139ba5b	2	637	rejected
555a209b20b3c7032c8c6a665dfc06cf	3	461	rejected
5574f1c4438c62d2267a0473527c304d	2	845	rejected
55a3e9c898a2a15a452b601da67487f7	4	558	rejected
55bc8ffb782b501c23c9578b5c747c29	4	984	rejected
563b1e8fcb1de7a4c0e01da9100d6e09	2	535	2p-done
5685a6069312d52a897fe69973269338	4	966	2p-done
56af144a4d1d2e662531bdfd00d3c725	3	783	2p-done
56fbe2c92653c724371241603a48d949	3	734	rejected
57026b7bcb8f855de3e26d572db35285	10	729	2p-done
573701f95648a8c0bdb93241a4333fc4	6	999	rejected
575380393f9674d224966e31accd85ff	4	980	rejected
575f0b538eace9d5240c4317207eebe3	2	880	rejected
578c86f033bfba9b08bf7a037d6a3fc6	2	829	rejected
5791e221676f9bffde9fcab05db0637b	6	853	rejected
579a8fd4f6933bae0c373ad856d423ca	8	934	rejected
579e8dcfca24a7d8a4c0ea63f2641212	3	968	rejected
57b2773ab54bbc5c119a46fd9be2c4f0	3	649	2p-done
58c21fd8178cfba7777f27504474b910	5	604	1p-in-progress
5910bb933ddec60f7c6cd617db06ad12	6	558	rejected
59363e5812137495280d2c1e2adc3b79	2	695	rejected
593ca6017f78215ea5cb9a0f250249a2	2	986	in-queue
593cb5020613a4695859130542f7fc94	6	485	2p-done
594bd669a6f33770b3b81629284ee752	5	915	rejected
59afe4a358cfc22bbaa83e54dd47d523	5	777	in-queue
59e52465bad37b7a7777d807d249ba86	2	941	rejected
5a250ab926ab81d1b473ed8344214af8	5	971	rejected
5acecd431f561b47b9ecc7165e05821d	4	944	rejected
5ae472e37fb53df70c6b7061e7616fa4	3	889	in-queue
5b7cab1d1cfc0c05686399d8bcbcfe5b	2	904	2p-done
5ba7e0d7fca01764b44f1ab15eb86665	8	977	rejected
5bbe1c6185296d179b95810e48ee3834	3	325	2p-done
5bbf064ff1a9b718b68ff3b93834ed5b	5	839	rejected
5bfd613fd31f0c2bdfb5c41f21629144	3	788	1p-done
5c3f7e885503160aa7d1d6e865acf648	7	998	in-queue
5c9402cd6d9b0532c4435b59e7d4b3fe	8	916	in-queue
5c9757a821e2a44e97d5d678c2af428c	10	644	in-queue
5ca51e07c14bd3feeb3a7ed626426f71	6	957	in-queue
5ca6618a22fb1ac40ecd7fd3c82a727c	8	871	rejected
5cd7d603e1cf8d2c134d039dc90112f0	4	845	1p-done
5d7ae300f27d36e84a9f1c4ccea12047	5	967	rejected
5d7b429073c60d53acba21bb6e7e6caa	9	412	2p-done
5dbc32f9c9d372ac40afdad9ffd33176	2	879	2p-done
5dfd5bfee062cd5896b619a2b1309766	6	976	1p-in-progress
5e1d27637f76b69f8232fafa6f5a7012	5	900	in-queue
5e3b95d81bfbdd687ddcf7465f632b62	22	989	rejected
5e5e66d564e4135f601a8ee2257f19d1	20	999	rejected
5ea1783901d814488846dc0dfeb43733	7	831	rejected
5ed6280fcfc285966e6389499bff55d5	3	145	rejected
5f4de41fe74df4f42a8036773f3f4e5c	6	996	rejected
5f784bbc1015f10e52ec374674a31626	2	994	rejected
5f84ff8967fade856dd798bd6d9209ec	5	752	in-queue
608e2b5dd33c03990c7ca2588074c5e8	5	795	rejected
609d5112c0386dc4e5f2e90b93cb7a5f	2	525	2p-done
60a9a7628b5fadb18ba7aaafd6af4879	5	831	rejected
61aa135210a475d8b53041072e3a007f	2	731	in-queue
